"136";"0";"Chicken Alfredo";"Alfredo Sauce";"1";"unit";"Alfredo Sauce"
"137";"0";"Chicken Alfredo";"Spaghetti";"1";"cup";"Spaghetti"
"138";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Frozen cheese tortellini";"16";"Oz";"tortellini"
"139";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Spinach";"1";"Bag";"Spinach"
"140";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Diced tomatoes";"2";"Cans";"Diced tomatoes"
"141";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Chicken broth";"6";"Cup";"Chicken broth"
"142";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Cream cheese";"8";"Oz";"Cream cheese"
"143";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Cumin";"1";"Tsp";"Cumin"
"144";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Oregeno";"1";"Tsp";"Oregeno"
"145";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Garlic pepper";"1";"Tsp";"Garlic pepper"
"146";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Salt";"To taste";;"Salt"
"147";"0";"CROCK POT TORTELLINI SPINACH SOUP";"Pepper";"To taste";;"Pepper"
"148";"0";"Porkchops in Mushroom Soup";"Pork";"4";"unit";"pork"
"149";"0";"Porkchops in Mushroom Soup";"Mushroom Soup";"1";"can";"Mushroom Soup"
"150";"0";"Homemade Macaroni/Cheese";"Elbow Macaroni";"3";"cup";"Elbow Macaroni"
"151";"0";"Homemade Macaroni/Cheese";"Shredded Cheddar Cheese";"325";"gr";"Shredded Cheddar Cheese"
"152";"0";"Homemade Macaroni/Cheese";"Milk";"2";"cup";"Milk"
"153";"0";"Homemade Macaroni/Cheese";"Tomatoe soup";"1";"can";"Tomatoe soup"
"242";"0";"Anolik";"Cauliflower Crackers";"1";"unit";
"161";"0";"Poormans`s Special";"Rice";"1";"Cup";"Rice"
"162";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD";"Broccoli";"5";"Cups";"Broccoli"
"163";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD";"Artichokes";"1.5";"Cups";"Artichokes"
"164";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD";"Sun-dried Tomatoes";"0.5";"Cup";"Sun-dried Tomatoes"
"165";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD";"Pitted Kalamata olives";"0.5";"Cup";"Olives"
"167";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD";"Red Onion";"1/3";"Cup";"Red Onion"
"168";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Greek Yogurt Plain non-fat";"2";"Cups";"Greek Yogurt"
"169";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Lemon/Juice Zest";"1";"Unit";"Lemon"
"170";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Monkfruit";"4.5";"tsp";"Monkfruit"
